BBDGSU,0,0,0,0,0,0,1,1
EFINSU,0,0,0,0,0,1,6,7
EFINSX,0,0,0,0,0,0,3,3
EFINSW,0,0,0,0,0,0,1,1
AAERTT,0,0,0,0,0,1,7,8
EFINSY,0,0,0,0,0,0,1,1
AAERTU,0,0,0,0,0,1,8,9
AAERTV,0,0,0,0,0,0,3,3
DEIKLOP,0,0,0,0,0,0,1,1
DEIKLOR,0,0,0,0,0,0,1,1
EFINST,0,0,0,0,0,1,8,9
DEIKLOS,0,0,0,0,0,0,1,1
EFINSS,0,0,0,0,0,0,6,6
HNNOSTY,0,0,0,0,0,0,1,1
AAERTX,0,0,0,0,0,0,1,1
AAERTW,0,0,0,0,0,0,3,3
AAERTZ,0,0,0,0,0,0,1,1
BGMPU,0,0,0,0,0,0,1,1
AAERTY,0,0,0,0,0,0,1,1
ACIPSTT,0,0,0,0,0,0,1,1
EFINRW,0,0,0,0,0,0,1,1
AGGHISW,0,0,0,0,0,0,1,1
BBDGRU,0,0,0,0,0,0,1,1
EFINRU,0,0,0,0,0,0,7,7
EFINRT,0,0,0,0,0,0,4,4
BGMOW,0,0,0,0,0,0,2,2
AAERUW,0,0,0,0,0,0,1,1
BGMOY,0,0,0,0,0,0,4,4
EFINRY,0,0,0,0,0,1,1,2
EFINRX,0,0,0,0,0,0,1,1
DEIKLNP,0,0,0,0,0,0,1,1
EFINRS,0,0,0,0,0,1,10,11
DEIKLNR,0,0,0,0,0,0,1,1
EFINRR,0,0,0,0,0,0,2,2
DEIKLNS,0,0,0,0,0,0,1,1
DEIKLNT,0,0,0,0,0,0,1,1
DEIKLNU,0,0,0,0,0,0,1,1
DEIKLNW,0,0,0,0,0,0,1,1
AABEGGR,0,0,0,0,0,0,1,1
BGMOT,0,0,0,0,0,0,2,2
BGMOS,0,0,0,0,0,4,5,9
AAERUZ,0,0,0,0,0,0,1,1
BGMOU,0,0,0,0,1,1,5,7
BGMOO,0,0,0,0,1,3,7,11
ACIPSST,0,0,0,0,0,0,1,1
BGMOR,0,0,0,0,0,1,5,6
AABEGGG,0,0,0,0,0,0,1,1
D,0,4,92,477,1458,3706,6627,12364
E,0,17,214,994,3270,8937,16068,29500
F,0,5,72,334,758,1473,2563,5205
AAERVW,0,0,0,0,0,0,1,1
G,0,4,92,385,1081,2626,5338,9526
IIQSTUV,0,0,0,0,0,0,1,1
A,0,21,227,1069,3146,6827,12028,23318
B,0,5,80,371,1054,2253,3996,7759
C,0,1,64,405,1317,3039,5942,10768
L,0,4,84,621,1964,4609,8664,15946
M,0,8,90,438,1244,2815,4941,9536
BEFITUX,0,0,0,0,0,0,1,1
N,0,6,86,576,1792,4733,9584,16777
O,0,22,210,951,2563,5337,9426,18509
H,0,8,81,408,1204,2605,4599,8905
I,0,16,161,760,2305,5790,12154,21186
J,0,2,32,126,248,437,577,1422
K,0,4,55,421,985,1691,2718,5874
U,0,11,135,643,1772,3928,6765,13254
T,0,6,104,578,1789,4300,8382,15159
W,0,3,73,314,725,1374,2285,4774
V,0,0,40,157,471,990,1623,3281
Q,0,1,4,21,90,196,360,672
P,0,5,95,443,1193,2637,4711,9084
S,0,7,109,839,3243,6773,13216,24187
R,0,4,91,646,2164,5499,10727,19131
BGMRU,0,0,0,0,0,0,5,5
BGMRS,0,0,0,0,0,0,3,3
Y,0,9,92,420,1570,2425,3298,7814
BGMRY,0,0,0,0,0,0,1,1
X,0,5,46,77,230,402,629,1389
AAERVY,0,0,0,0,0,0,1,1
BGMRW,0,0,0,0,0,0,1,1
Z,0,2,38,109,301,535,760,1745
AAERWX,0,0,0,0,0,1,0,1
AAERWY,0,0,0,0,0,1,3,4
EFINPV,0,0,0,0,0,0,1,1
EFINPS,0,0,0,0,0,0,1,1
EFINPR,0,0,0,0,0,1,4,5
DEIKLLS,0,0,0,0,0,0,1,1
IILRTZ,0,0,0,0,0,0,1,1
IILRTY,0,0,0,0,0,0,2,2
IILRTV,0,0,0,0,0,0,2,2
IILRTT,0,0,0,0,0,0,1,1
DIINOQ,0,0,0,0,0,0,1,1
DIINOR,0,0,0,0,0,0,4,4
DIINOS,0,0,0,0,0,1,5,6
DIINOT,0,0,0,0,0,0,6,6
DIINOV,0,0,0,0,0,0,2,2
MPRRW,0,0,0,0,0,0,1,1
DGNOTW,0,0,0,0,0,0,1,1
DIINOU,0,0,0,0,0,0,1,1
MPRRY,0,0,0,0,0,0,1,1
DIINOX,0,0,0,0,0,1,2,3
DGNOTU,0,0,0,0,0,0,2,2
DIINOW,0,0,0,0,0,0,1,1
DGNOTT,0,0,0,0,0,0,1,1
MPRRS,0,0,0,0,0,0,3,3
DIINOZ,0,0,0,0,0,0,2,2
MPRRT,0,0,0,0,0,0,4,4
MPRRU,0,0,0,0,0,0,2,2
CLOOUY,0,0,0,0,0,0,1,1
IILRSY,0,0,0,0,0,0,2,2
IILRSV,0,0,0,0,0,0,2,2
IILRSU,0,0,0,0,0,0,1,1
IILRSX,0,0,0,0,0,0,1,1
DIINPP,0,0,0,0,0,0,1,1
MPRSS,0,0,0,0,0,2,10,12
IILRST,0,0,0,0,0,0,4,4
DIINPU,0,0,0,0,0,0,1,1
DIINPR,0,0,0,0,0,0,2,2
DIINPS,0,0,0,0,0,0,2,2
MPRSY,0,0,0,0,0,1,5,6
MPRSV,0,0,0,0,0,0,2,2
MPRSW,0,0,0,0,0,0,2,2
MPRST,0,0,0,0,0,4,9,13
MPRSU,0,0,0,0,1,8,20,29
CLOOTY,0,0,0,0,0,0,2,2
DGNOUY,0,0,0,0,0,0,1,1
CLOOTU,0,0,0,0,0,0,1,1
KLSSSU,0,0,0,0,0,0,1,1
CLOOSZ,0,0,0,0,0,0,1,1
IILRVY,0,0,0,0,0,0,1,1
BGMNY,0,0,0,0,0,0,3,3
BGMNW,0,0,0,0,0,0,1,1
EFINUX,0,0,0,0,0,0,2,2
MPRTT,0,0,0,0,0,0,3,3
EFINUY,0,0,0,0,0,0,2,2
BGMNP,0,0,0,0,0,0,1,1
MPRTU,0,0,0,0,1,1,10,12
BGMNN,0,0,0,0,0,0,1,1
MPRTX,0,0,0,0,0,0,1,1
BGMNO,0,0,0,0,0,2,10,12
MPRTY,0,0,0,0,0,1,0,1
BGMNT,0,0,0,0,0,0,1,1
BGMNU,0,0,0,0,0,0,7,7
BGMNR,0,0,0,0,0,0,3,3
CLOOSS,0,0,0,0,0,0,3,3
CLOOSU,0,0,0,0,0,0,4,4
CLOOST,0,0,0,0,0,1,5,6
AABEGLR,0,0,0,0,0,0,1,1
CLOOSY,0,0,0,0,0,0,1,1
EFINTT,0,0,0,0,0,0,2,2
CLOORY,0,0,0,0,0,1,1,2
HNNOSUW,0,0,0,0,0,0,1,1
DIINNR,0,0,0,0,0,0,1,1
DIINNS,0,0,0,0,0,0,2,2
BGMMU,0,0,0,0,0,0,1,1
EFINTX,0,0,0,0,0,0,1,1
MPRUU,0,0,0,0,0,2,1,3
DIINNN,0,0,0,0,0,0,1,1
DIINNO,0,0,0,0,0,0,1,1
EFINTW,0,0,0,0,0,0,1,1
BGMMN,0,0,0,0,0,0,2,2
MPRUY,0,0,0,0,1,5,5,11
MPRUW,0,0,0,0,0,1,1,2
DIINNW,0,0,0,0,0,1,2,3
BFFLLUY,0,0,0,0,0,0,1,1
DIINNU,0,0,0,0,0,0,2,2
DIINNT,0,0,0,0,0,0,2,2
CLOORT,0,0,0,0,0,0,2,2
CLOORS,0,0,0,0,0,1,2,3
